model,threshold,accuracy,precision,recall,f1,roc_auc
CNN Garch — Test,0.4700000000000001,0.20857142857142857,0.2012987012987013,0.9964285714285714,0.3349339735894358,0.49703762755102043
Ensemble Combined — Test,0.4600000000000001,0.21535714285714286,0.20138635534476468,0.9857142857142858,0.33444410784610723,0.5034103954081632
XGBoost Signature — Test,0.05,0.2,0.2,1.0,0.3333333333333333,0.49928332270408166
Ensemble Signature — Test,0.4800000000000001,0.2,0.2,1.0,0.3333333333333333,0.496383131377551
CNN Signature — Test,0.05,0.2,0.2,1.0,0.3333333333333333,0.48978515624999996
CNN Combined — Test,0.4600000000000001,0.2017857142857143,0.19992834109638122,0.9964285714285714,0.333034914950761,0.4947556600765306
XGBoost Combined — Test,0.24000000000000005,0.21571428571428572,0.2005856515373353,0.9785714285714285,0.33292831105710813,0.49804807079081637
Ensemble Garch — Test,0.37000000000000005,0.22607142857142856,0.20007465472191116,0.9571428571428572,0.3309663476381599,0.49153539540816327
XGBoost Garch — Test,0.27,0.22035714285714286,0.19911012235817574,0.9589285714285715,0.32975130488179305,0.49095145089285713
