model,mean_precision_at_5,perfect_selection_rate
CNN Combined,0.240926444387885,0.0022906592008144567
XGBoost GARCH,0.24031560193433446,0.006108424535505218
Ensemble Combined,0.2376686179689489,0.004072283023670145
XGBoost Combined,0.2376686179689489,0.004072283023670145
Ensemble Signature,0.23497073046576739,0.0015271061338763044
Ensemble GARCH,0.2345125986256045,0.0017816238228556885
CNN GARCH,0.2345125986256045,0.0017816238228556885
CNN Signature,0.23364723848307462,0.0020361415118350726
XGBoost Signature,0.2274370068719776,0.0010180707559175363
