model,threshold,accuracy,precision,recall,f1,roc_auc,architecture,feature_type
CNN Combined,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5164593292198938,CNN,Combined
XGBoost Combined,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5096848194547128,XGBoost,Combined
Ensemble Combined,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5096848194547128,Ensemble,Combined
XGBoost Signature,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5068282739548335,XGBoost,Signature
XGBoost Garch,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5041793867749655,XGBoost,
CNN Garch,0.4399999380111694,0.2007126495291422,0.1999959228189629,0.9987783150928988,0.3332597323187716,0.5060899336213462,CNN,
Ensemble Garch,0.4399999380111694,0.2007126495291422,0.1999959228189629,0.9987783150928988,0.3332597323187716,0.5060899336213462,Ensemble,
Ensemble Signature,0.4699999094009399,0.206098243827946,0.199917695473251,0.9891575464494784,0.3326115794428516,0.519896120959969,Ensemble,Signature
CNN Signature,0.3999999463558197,0.2060167981674726,0.1999012426960744,0.9891575464494784,0.3325888081606805,0.5196847835022269,CNN,Signature
