model,threshold,accuracy,precision,recall,f1,roc_auc
Ensemble Garch — Test,0.4100000000000001,0.20719101123595507,0.20090702947845804,0.9955056179775281,0.33433962264150946,0.4894274712788789
XGBoost Garch — Test,0.19,0.20157303370786517,0.20018013960819636,0.998876404494382,0.3335209154004877,0.4935598409291756
XGBoost Signature — Test,0.15000000000000002,0.2,0.2,1.0,0.3333333333333333,0.505177850018937
Ensemble Signature — Test,0.4100000000000001,0.2,0.2,1.0,0.3333333333333333,0.5026406072465598
CNN Signature — Test,0.44000000000000006,0.2,0.2,1.0,0.3333333333333333,0.5001324012119681
XGBoost Combined — Test,0.05,0.2,0.2,1.0,0.3333333333333333,0.49775628077262973
CNN Garch — Test,0.42000000000000004,0.20561797752808988,0.20018136476989346,0.9921348314606742,0.3331446896811922,0.49321992172705464
CNN Combined — Test,0.45000000000000007,0.2,0.19986510791366907,0.998876404494382,0.33308355189209443,0.49287731978285565
Ensemble Combined — Test,0.45000000000000007,0.2,0.19986510791366907,0.998876404494382,0.33308355189209443,0.49287731978285565
