Model,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
XGBoost Combined,2.609644079397497,0.14650223195258816,0.24845116945249188,0.6751203394995338,-0.4505615230133586
Equal-Weight 25 Portfolios,1.9824245451137417,0.12342959413385857,0.2198056886078854,0.6401008077073062,-0.41360354654118336
Ensemble Signature,1.832706197730424,0.11728373589162433,0.2462056734051458,0.5741656489128324,-0.4679858476775308
XGBoost Signature,1.832706197730424,0.11728373589162433,0.2462056734051458,0.5741656489128324,-0.4679858476775308
CNN GARCH,1.7053665869252677,0.11182367681422845,0.2680820065111987,0.5300532972299804,-0.4585547570429852
XGBoost GARCH,1.556730855934052,0.10515214860299427,0.2600957868587649,0.5149527527443102,-0.4664247031293418
Ensemble GARCH,1.556730855934052,0.10515214860299427,0.2600957868587649,0.5149527527443102,-0.4664247031293418
CNN Signature,1.1953533080256853,0.08735974791741064,0.2535776898714128,0.4577344428936516,-0.41842215250902326
Ensemble Combined,1.1180663504937156,0.08321697245974957,0.2607581987494935,0.4375488035159781,-0.440256397625429
CNN Combined,1.0796334960347052,0.0811063468812816,0.26046050378720964,0.4302302519434168,-0.43993640411144097
