model,threshold,accuracy,precision,recall,f1,roc_auc,architecture,feature_type
Ensemble Garch,0.4100000000000001,0.207191011235955,0.200907029478458,0.995505617977528,0.3343396226415094,0.4894274712788789,Ensemble,
XGBoost Garch,0.19,0.2015730337078651,0.2001801396081963,0.998876404494382,0.3335209154004877,0.4935598409291756,XGBoost,
XGBoost Signature,0.15,0.2,0.2,1.0,0.3333333333333333,0.505177850018937,XGBoost,Signature
Ensemble Signature,0.4100000000000001,0.2,0.2,1.0,0.3333333333333333,0.5026406072465598,Ensemble,Signature
CNN Signature,0.44,0.2,0.2,1.0,0.3333333333333333,0.5001324012119681,CNN,Signature
XGBoost Combined,0.05,0.2,0.2,1.0,0.3333333333333333,0.4977562807726297,XGBoost,Combined
CNN Garch,0.42,0.2056179775280898,0.2001813647698934,0.9921348314606742,0.3331446896811922,0.4932199217270546,CNN,
CNN Combined,0.45,0.2,0.199865107913669,0.998876404494382,0.3330835518920944,0.4928773197828556,CNN,Combined
Ensemble Combined,0.45,0.2,0.199865107913669,0.998876404494382,0.3330835518920944,0.4928773197828556,Ensemble,Combined
