model,mean_precision_at_5,perfect_selection_rate
Ensemble Signature,0.2258426966292135,0.0
XGBoost Signature,0.22022471910112362,0.0
XGBoost GARCH,0.21235955056179773,0.0
CNN Combined,0.20786516853932585,0.0
Ensemble Combined,0.20786516853932585,0.0
XGBoost Combined,0.20449438202247194,0.0
CNN GARCH,0.20337078651685395,0.0
Ensemble GARCH,0.19325842696629214,0.0
CNN Signature,0.1865168539325843,0.0
