model,threshold,accuracy,precision,recall,f1,roc_auc
CNN Combined — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5164593292198938
XGBoost Combined — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5096848194547128
Ensemble Combined — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5096848194547128
XGBoost Signature — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5068282739548335
XGBoost Garch — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5041793867749655
CNN Garch — Test,0.43999993801116943,0.20071264952914228,0.19999592281896297,0.9987783150928989,0.33325973231877165,0.5060899336213462
Ensemble Garch — Test,0.43999993801116943,0.20071264952914228,0.19999592281896297,0.9987783150928989,0.33325973231877165,0.5060899336213462
Ensemble Signature — Test,0.46999990940093994,0.20609824382794603,0.19991769547325103,0.9891575464494783,0.33261157944285163,0.519896120959969
CNN Signature — Test,0.3999999463558197,0.20601679816747265,0.1999012426960744,0.9891575464494783,0.33258880816068054,0.5196847835022269
