feature_set,cnn_weight,xgb_weight,threshold,f1
signature,0.30000001192092896,0.699999988079071,0.46999990940093994,0.3335215895671818
garch,1.0,0.0,0.43999993801116943,0.33336737472766886
combined,0.0,1.0,0.05000000074505806,0.3333333333333333
