model,threshold,accuracy,precision,recall,f1,roc_auc
XGBoost Combined — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5132909869245131
CNN Garch — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5098952037136412
Ensemble Combined — Test,0.46999990940093994,0.2,0.2,1.0,0.3333333333333333,0.5098248056969366
CNN Signature — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5094560693224456
CNN Combined — Test,0.3899999260902405,0.2,0.2,1.0,0.3333333333333333,0.5083758294991958
XGBoost Garch — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5062426589276515
Ensemble Garch — Test,0.05000000074505806,0.2,0.2,1.0,0.3333333333333333,0.5062426589276515
XGBoost Signature — Test,0.489999920129776,0.20813186813186813,0.2001884045559647,0.9879966187658495,0.33292031617175816,0.5042552603128714
Ensemble Signature — Test,0.489999920129776,0.20813186813186813,0.2001884045559647,0.9879966187658495,0.33292031617175816,0.5042552603128714
