feature_set,cnn_weight,xgb_weight,threshold,f1
signature,0.0,1.0,0.489999920129776,0.3334085205966109
garch,0.0,1.0,0.05000000074505806,0.3333333333333333
combined,0.25,0.75,0.46999990940093994,0.3333380295580383
