model,threshold,accuracy,precision,recall,f1,roc_auc
CNN Garch,0.4700000000000001,0.2085714285714285,0.2012987012987013,0.9964285714285714,0.3349339735894358,0.4970376275510204
Ensemble Combined,0.4600000000000001,0.2153571428571428,0.2013863553447646,0.9857142857142858,0.3344441078461072,0.5034103954081632
XGBoost Signature,0.05,0.2,0.2,1.0,0.3333333333333333,0.4992833227040816
Ensemble Signature,0.4800000000000001,0.2,0.2,1.0,0.3333333333333333,0.496383131377551
CNN Signature,0.05,0.2,0.2,1.0,0.3333333333333333,0.4897851562499999
CNN Combined,0.4600000000000001,0.2017857142857143,0.1999283410963812,0.9964285714285714,0.333034914950761,0.4947556600765306
XGBoost Combined,0.24,0.2157142857142857,0.2005856515373353,0.9785714285714284,0.3329283110571081,0.4980480707908163
Ensemble Garch,0.37,0.2260714285714285,0.2000746547219111,0.9571428571428572,0.3309663476381599,0.4915353954081632
XGBoost Garch,0.27,0.2203571428571428,0.1991101223581757,0.9589285714285716,0.329751304881793,0.4909514508928571
