model,mean_precision_at_5,perfect_selection_rate
CNN Signature,0.21428571428571427,0.0
Ensemble Combined,0.21071428571428572,0.0
XGBoost Combined,0.21071428571428572,0.0
CNN GARCH,0.20535714285714285,0.0
Ensemble GARCH,0.20357142857142857,0.0
CNN Combined,0.2,0.0
XGBoost Signature,0.19642857142857142,0.0
XGBoost GARCH,0.19285714285714287,0.0
Ensemble Signature,0.18392857142857144,0.0
