Model,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
CNN Signature,2.5261341387022536,0.144561571116137,0.21141855985330904,0.7469894593164491,-0.31603102003952876
XGBoost Combined,2.564921862299425,0.14590394854267985,0.22117907690738503,0.7286641832584219,-0.3168122826731855
XGBoost Signature,2.22504027924883,0.1336680527200964,0.20076605315013668,0.7272920282534358,-0.2699835900846139
CNN GARCH,2.0746921299861003,0.127884065349402,0.20988327866862214,0.6801917348259644,-0.29174257556829397
Equal-Weight 25 Portfolios,1.887323401772028,0.1203115054977979,0.199362200296322,0.6723101388939742,-0.30832588161897045
Ensemble Combined,2.0889295377608166,0.12844248525571622,0.22246390392333415,0.6576281955597763,-0.3485801590129253
Ensemble Signature,1.8382245247812325,0.11825467648211441,0.20331311877902974,0.652463378075909,-0.28622589229726536
Ensemble GARCH,1.6500045430235155,0.11006357445237502,0.2100963596478721,0.603934717988203,-0.3379673895373174
XGBoost GARCH,1.6071585922317522,0.10812657351080412,0.206766203676514,0.6015637016373349,-0.31982732984746864
CNN Combined,1.547598719459192,0.10538619912492186,0.21510703201790154,0.5760069712164898,-0.3496319439195117
