model,mean_precision_at_5,perfect_selection_rate
CNN GARCH,0.2445477599323753,0.001267962806424345
Ensemble GARCH,0.24361792054099746,0.00507185122569738
XGBoost GARCH,0.24361792054099746,0.00507185122569738
XGBoost Combined,0.2418427726120034,0.0033812341504649195
Ensemble Combined,0.23702451394759086,0.0008453085376162299
CNN Combined,0.2359256128486898,0.001267962806424345
CNN Signature,0.23000845308537618,0.0029585798816568047
XGBoost Signature,0.22958579881656807,0.004649196956889264
Ensemble Signature,0.22958579881656807,0.004649196956889264
