model,threshold,accuracy,precision,recall,f1,roc_auc
XGBoost Combined,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5132909869245131
CNN Garch,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5098952037136412
Ensemble Combined,0.4699999094009399,0.2,0.2,1.0,0.3333333333333333,0.5098248056969366
CNN Signature,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5094560693224456
CNN Combined,0.3899999260902405,0.2,0.2,1.0,0.3333333333333333,0.5083758294991958
XGBoost Garch,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5062426589276515
Ensemble Garch,0.050000000745058,0.2,0.2,1.0,0.3333333333333333,0.5062426589276515
XGBoost Signature,0.489999920129776,0.2081318681318681,0.2001884045559647,0.9879966187658497,0.3329203161717581,0.5042552603128714
Ensemble Signature,0.489999920129776,0.2081318681318681,0.2001884045559647,0.9879966187658497,0.3329203161717581,0.5042552603128714
