Frequency,Factor Model,Mean_Annualized_Return,Mean_Sharpe,Mean_Max_Drawdown
Daily,FF3,0.12250561188091795,0.6092441775605583,-0.446380087983436
Daily,FF5,0.10609786055716613,0.5232137709329829,-0.45295025954622026
Monthly,FF3,0.12314474714746254,0.7206971740391366,-0.31549952096522005
Monthly,FF5,0.12469901628380518,0.6638593744591094,-0.31520024255334556
