Frequency,Factor Model,Mean_Accuracy,Mean_F1,Mean_ROC_AUC
Daily,FF3,0.20150448233930032,0.33315405765641576,0.5109552667293341
Daily,FF5,0.20180708180708182,0.33324155174187214,0.5079820815153087
Monthly,FF3,0.2015980024968789,0.33338951831563457,0.496407668083435
Monthly,FF5,0.20976190476190473,0.3328954399959294,0.4956878011621315
