Dataset,Model,architecture,feature_type,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Daily FF3,XGBoost Signature,XGBoost,Signature,5.689800440748416,0.1296417298003263,0.2239370521621461,0.6567905760222965,-0.3741262913617391
Daily FF5,XGBoost Combined,XGBoost,Combined,2.609644079397497,0.1465022319525881,0.2484511694524918,0.6751203394995338,-0.4505615230133586
Monthly FF3,Ensemble Combined,Ensemble,Combined,4.712745358806138,0.1246651798774391,0.1731479178166907,0.7682130231221085,-0.2673906744182539
Monthly FF5,CNN Signature,CNN,Signature,2.5261341387022536,0.144561571116137,0.211418559853309,0.7469894593164491,-0.3160310200395287
