Dataset,architecture,feature_type,model,Accuracy,F1,ROC_AUC,Threshold
Daily FF3,CNN,Combined,CNN Combined,0.2,0.3333333333333333,0.5164593292198938,0.050000000745058
Daily FF5,XGBoost,Combined,XGBoost Combined,0.2,0.3333333333333333,0.5132909869245131,0.050000000745058
Monthly FF3,Ensemble,Signature,Ensemble Garch,0.207191011235955,0.3343396226415094,0.4894274712788789,0.4100000000000001
Monthly FF5,CNN,Combined,CNN Garch,0.2085714285714285,0.3349339735894358,0.4970376275510204,0.4700000000000001
