Dataset,feature_type,Annualized_Return,Sharpe_Ratio,Maximum_Drawdown
Daily FF3,Combined,0.13096026599461433,0.6428077451319227,-0.4510912479487211
Daily FF3,GARCH,0.1228204143779213,0.6044785117620787,-0.4525495956188488
Daily FF3,Signature,0.11373615527021819,0.5804462757876735,-0.43549942038273826
Daily FF5,Combined,0.10360851709787307,0.5142997983196429,-0.4435847749167428
Daily FF5,GARCH,0.10737599134007227,0.5199862675728669,-0.4638013877672229
Daily FF5,Signature,0.10730907323355306,0.5353552469064388,-0.45146461595469495
Monthly FF3,Combined,0.12567119334848117,0.7511517750768139,-0.3047369193724412
Monthly FF3,GARCH,0.11798376974595076,0.7106200405181656,-0.3054454400154705
Monthly FF3,Signature,0.1257792783479557,0.7003197065224301,-0.3363162035077483
Monthly FF5,Combined,0.1265775443077726,0.6540997833448959,-0.3383414618685408
Monthly FF5,GARCH,0.1153580711041937,0.6285633848171673,-0.31651243165102666
Monthly FF5,Signature,0.13216143343944928,0.7089149552152646,-0.2907468341404693
