architecture,feature_type,Mean_Annualized_Return,Mean_Sharpe,Mean_Max_Drawdown,Experiments
XGBoost,Combined,0.13806858948606682,0.6940953317438221,-0.4006388440876318,4
XGBoost,Signature,0.12880932705101028,0.6726708038522956,-0.3695520735061877,4
CNN,GARCH,0.12262706386015107,0.6474971870997116,-0.36654459207560747,4
Ensemble,Signature,0.12088664946232,0.6327667895628444,-0.39685566616591883,4
Ensemble,Combined,0.11712739868783471,0.6297393868572427,-0.3779948481099439,4
Ensemble,GARCH,0.11383267013039175,0.6075975496797748,-0.38173706239421407,4
CNN,Combined,0.10991715238765432,0.5979346078038918,-0.3746821108822588,4
XGBoost,GARCH,0.1111939509355607,0.5926414167232226,-0.40544998681960515,4
CNN,Signature,0.10954347870505189,0.5883395449087154,-0.36911256581713164,4
