Experiment,Dataset_classification,Model_Key,Accuracy,F1,ROC_AUC,Annualized Return,Sharpe Ratio,Maximum Drawdown
monthly_ff3,Monthly FF3,XGBoost Signature,0.2,0.3333333333333333,0.505177850018937,0.1346437897919941,0.7324349622206177,-0.3661125649008668
monthly_ff3,Monthly FF3,Ensemble Signature,0.2,0.3333333333333333,0.5026406072465598,0.1411375157064056,0.7580127396121533,-0.3660008718314947
monthly_ff3,Monthly FF3,CNN Signature,0.2,0.3333333333333333,0.5001324012119681,0.1015565295454674,0.6105114177345193,-0.2768351737908834
monthly_ff3,Monthly FF3,XGBoost Combined,0.2,0.3333333333333333,0.4977562807726297,0.1276832202905653,0.7170292789862247,-0.3794294092808157
monthly_ff3,Monthly FF3,CNN Combined,0.2,0.3330835518920944,0.4928773197828556,0.1246651798774391,0.7682130231221085,-0.2673906744182539
monthly_ff3,Monthly FF3,Ensemble Combined,0.2,0.3330835518920944,0.4928773197828556,0.1246651798774391,0.7682130231221085,-0.2673906744182539
monthly_ff5,Monthly FF5,Ensemble Combined,0.2153571428571428,0.3344441078461072,0.5034103954081632,0.1284424852557162,0.6576281955597763,-0.3485801590129253
monthly_ff5,Monthly FF5,XGBoost Signature,0.2,0.3333333333333333,0.4992833227040816,0.1336680527200964,0.7272920282534358,-0.2699835900846139
monthly_ff5,Monthly FF5,Ensemble Signature,0.2,0.3333333333333333,0.496383131377551,0.1182546764821144,0.652463378075909,-0.2862258922972653
monthly_ff5,Monthly FF5,CNN Signature,0.2,0.3333333333333333,0.4897851562499999,0.144561571116137,0.7469894593164491,-0.3160310200395287
monthly_ff5,Monthly FF5,CNN Combined,0.2017857142857143,0.333034914950761,0.4947556600765306,0.1053861991249218,0.5760069712164898,-0.3496319439195117
monthly_ff5,Monthly FF5,XGBoost Combined,0.2157142857142857,0.3329283110571081,0.4980480707908163,0.1459039485426798,0.7286641832584219,-0.3168122826731855
daily_ff3,Daily FF3,CNN Combined,0.2,0.3333333333333333,0.5164593292198938,0.1285108836669748,0.6172881849335523,-0.4417694210798286
daily_ff3,Daily FF3,XGBoost Combined,0.2,0.3333333333333333,0.5096848194547128,0.1321849571584341,0.655567525231108,-0.4557521613831673
daily_ff3,Daily FF3,Ensemble Combined,0.2,0.3333333333333333,0.5096848194547128,0.1321849571584341,0.655567525231108,-0.4557521613831673
daily_ff3,Daily FF3,XGBoost Signature,0.2,0.3333333333333333,0.5068282739548335,0.1296417298003263,0.6567905760222965,-0.3741262913617391
daily_ff3,Daily FF3,Ensemble Signature,0.206098243827946,0.3326115794428516,0.519896120959969,0.1068706697691357,0.5464253916504825,-0.4672100528573844
daily_ff3,Daily FF3,CNN Signature,0.2060167981674726,0.3325888081606805,0.5196847835022269,0.1046960662411926,0.5381228596902414,-0.4651619169290913
daily_ff5,Daily FF5,XGBoost Combined,0.2,0.3333333333333333,0.5132909869245131,0.1465022319525881,0.6751203394995338,-0.4505615230133586
daily_ff5,Daily FF5,Ensemble Combined,0.2,0.3333333333333333,0.5098248056969366,0.0832169724597495,0.4375488035159781,-0.440256397625429
daily_ff5,Daily FF5,CNN Signature,0.2,0.3333333333333333,0.5094560693224456,0.0873597479174106,0.4577344428936516,-0.4184221525090232
daily_ff5,Daily FF5,CNN Combined,0.2,0.3333333333333333,0.5083758294991958,0.0811063468812816,0.4302302519434168,-0.4399364041114409
daily_ff5,Daily FF5,XGBoost Signature,0.2081318681318681,0.3329203161717581,0.5042552603128714,0.1172837358916243,0.5741656489128324,-0.4679858476775308
daily_ff5,Daily FF5,Ensemble Signature,0.2081318681318681,0.3329203161717581,0.5042552603128714,0.1172837358916243,0.5741656489128324,-0.4679858476775308
