architecture,feature_type,Mean_Rank,Mean_Accuracy,Mean_F1,Mean_ROC_AUC,Experiments
XGBoost,Combined,3.25,0.20392857142857143,0.333232077764277,0.504695039485668,4
Ensemble,Combined,3.5833333333333335,0.20383928571428572,0.33354858160121703,0.503949335085667,4
XGBoost,Signature,4.083333333333333,0.20203296703296703,0.3332300790429395,0.5038861767476809,4
CNN,Signature,4.166666666666667,0.20150419954186816,0.3331472020401701,0.5047646025716601,4
Ensemble,Signature,4.25,0.20355752798995352,0.33304964057031905,0.5057937799742378,4
CNN,Combined,4.583333333333333,0.20044642857142858,0.3331962833773805,0.503117034644619,4
