,Accuracy,F1,ROC_AUC,Annualized Return,Sharpe Ratio,Maximum Drawdown
Accuracy,1.0,0.016728323136822165,0.05817476858567231,0.11812835569801428,-0.039994065730769836,-0.10390218903902668
F1,0.016728323136822165,1.0,-0.18571726287039822,0.16866297239744002,0.1543152799259805,0.23470369599494012
ROC_AUC,0.05817476858567231,-0.18571726287039822,1.0,-0.27811879004079076,-0.5668433839936836,-0.8131417625563317
Annualized Return,0.11812835569801428,0.16866297239744002,-0.27811879004079076,1.0,0.8767247423768422,0.26408974323216383
Sharpe Ratio,-0.039994065730769836,0.1543152799259805,-0.5668433839936836,0.8767247423768422,1.0,0.6137033464176156
Maximum Drawdown,-0.10390218903902668,0.23470369599494012,-0.8131417625563317,0.26408974323216383,0.6137033464176156,1.0
