Dataset,feature_type,Accuracy,F1,ROC_AUC
Daily FF3,Combined,0.20000000000000004,0.3333333333333333,0.5119429893764398
Daily FF3,Signature,0.20403834733180623,0.3328445736456218,0.5154697261390098
Daily FF5,Combined,0.20000000000000004,0.3333333333333333,0.5104972073735485
Daily FF5,Signature,0.2054212454212454,0.3330579885589498,0.5059888633160629
Monthly FF3,Combined,0.20000000000000004,0.33316681237250734,0.4945036401127803
Monthly FF3,Signature,0.20000000000000004,0.3333333333333333,0.502650286159155
Monthly FF5,Combined,0.21095238095238092,0.3334691112846588,0.49873804209183675
Monthly FF5,Signature,0.20000000000000004,0.3333333333333333,0.4951505367772109
