Date,RealizationDate,Portfolio,RealizedNextReturn
1927-10-01,1927-11-01,ME5 BM2,6.5099
1927-10-01,1927-11-01,ME5 BM3,6.0045
1927-10-01,1927-11-01,ME5 BM4,7.0427
1927-10-01,1927-11-01,BIG HiBM,8.0776
1927-11-01,1927-12-01,SMALL LoBM,-3.9895
1927-11-01,1927-12-01,ME1 BM2,7.3889
1927-11-01,1927-12-01,ME1 BM3,3.8197
1927-11-01,1927-12-01,ME1 BM4,4.5379
1927-11-01,1927-12-01,SMALL HiBM,6.9512
1927-11-01,1927-12-01,ME2 BM1,4.812
1927-11-01,1927-12-01,ME2 BM2,3.7387
1927-11-01,1927-12-01,ME2 BM3,2.3815
1927-11-01,1927-12-01,ME2 BM4,3.0095
1927-11-01,1927-12-01,ME2 BM5,-0.3422
1927-11-01,1927-12-01,ME3 BM1,4.5742
1927-11-01,1927-12-01,ME3 BM2,4.6368
1927-11-01,1927-12-01,ME3 BM3,5.0609
1927-11-01,1927-12-01,ME3 BM4,3.4771
1927-11-01,1927-12-01,ME3 BM5,11.3299
1927-11-01,1927-12-01,ME4 BM1,0.0583
1927-11-01,1927-12-01,ME4 BM2,5.5718
1927-11-01,1927-12-01,ME4 BM3,4.3646
1927-11-01,1927-12-01,ME4 BM4,1.6744
1927-11-01,1927-12-01,ME4 BM5,-2.3196
1927-11-01,1927-12-01,BIG LoBM,2.8698
1927-11-01,1927-12-01,ME5 BM2,1.3101
1927-11-01,1927-12-01,ME5 BM3,1.2709
1927-11-01,1927-12-01,ME5 BM4,2.4475
1927-11-01,1927-12-01,BIG HiBM,10.3769
1927-12-01,1928-01-01,SMALL LoBM,-8.2763
1927-12-01,1928-01-01,ME1 BM2,7.466
1927-12-01,1928-01-01,ME1 BM3,5.0289
1927-12-01,1928-01-01,ME1 BM4,1.7809
1927-12-01,1928-01-01,SMALL HiBM,9.9834
1927-12-01,1928-01-01,ME2 BM1,1.274
1927-12-01,1928-01-01,ME2 BM2,3.9
1927-12-01,1928-01-01,ME2 BM3,0.3138
1927-12-01,1928-01-01,ME2 BM4,5.0186
1927-12-01,1928-01-01,ME2 BM5,2.2786
1927-12-01,1928-01-01,ME3 BM1,4.8654
1927-12-01,1928-01-01,ME3 BM2,2.813
1927-12-01,1928-01-01,ME3 BM3,4.093
1927-12-01,1928-01-01,ME3 BM4,2.2307
1927-12-01,1928-01-01,ME3 BM5,-5.8499
1927-12-01,1928-01-01,ME4 BM1,1.7775
1927-12-01,1928-01-01,ME4 BM2,1.0841
1927-12-01,1928-01-01,ME4 BM3,0.4668
1927-12-01,1928-01-01,ME4 BM4,2.2131
1927-12-01,1928-01-01,ME4 BM5,0.3207
1927-12-01,1928-01-01,BIG LoBM,-1.2715
1927-12-01,1928-01-01,ME5 BM2,-0.2544
1927-12-01,1928-01-01,ME5 BM3,-0.6323
1927-12-01,1928-01-01,ME5 BM4,-1.6469
1927-12-01,1928-01-01,BIG HiBM,-5.0648
1928-01-01,1928-02-01,SMALL LoBM,0.6463
1928-01-01,1928-02-01,ME1 BM2,-4.8227
1928-01-01,1928-02-01,ME1 BM3,5.7779
1928-01-01,1928-02-01,ME1 BM4,3.0151
1928-01-01,1928-02-01,SMALL HiBM,-4.8248
1928-01-01,1928-02-01,ME2 BM1,-5.778
1928-01-01,1928-02-01,ME2 BM2,-2.0636
1928-01-01,1928-02-01,ME2 BM3,-2.5777
1928-01-01,1928-02-01,ME2 BM4,-2.1402
1928-01-01,1928-02-01,ME2 BM5,-5.6043
1928-01-01,1928-02-01,ME3 BM1,-2.5476
1928-01-01,1928-02-01,ME3 BM2,-1.9376
1928-01-01,1928-02-01,ME3 BM3,-2.8543
1928-01-01,1928-02-01,ME3 BM4,-2.5332
1928-01-01,1928-02-01,ME3 BM5,-6.0539
1928-01-01,1928-02-01,ME4 BM1,-4.7599
1928-01-01,1928-02-01,ME4 BM2,-1.3008
1928-01-01,1928-02-01,ME4 BM3,-2.5402
1928-01-01,1928-02-01,ME4 BM4,-3.0079
1928-01-01,1928-02-01,ME4 BM5,-8.524
1928-01-01,1928-02-01,BIG LoBM,-0.1457
1928-01-01,1928-02-01,ME5 BM2,-0.627
1928-01-01,1928-02-01,ME5 BM3,-0.4909
1928-01-01,1928-02-01,ME5 BM4,-2.1211
1928-01-01,1928-02-01,BIG HiBM,-1.3892
1928-02-01,1928-03-01,SMALL LoBM,40.0538
1928-02-01,1928-03-01,ME1 BM2,0.3279
1928-02-01,1928-03-01,ME1 BM3,2.1025
1928-02-01,1928-03-01,ME1 BM4,-2.7415
1928-02-01,1928-03-01,SMALL HiBM,8.9594
1928-02-01,1928-03-01,ME2 BM1,4.7346
1928-02-01,1928-03-01,ME2 BM2,11.8263
1928-02-01,1928-03-01,ME2 BM3,6.871
1928-02-01,1928-03-01,ME2 BM4,7.6034
1928-02-01,1928-03-01,ME2 BM5,14.3914
1928-02-01,1928-03-01,ME3 BM1,6.2161
1928-02-01,1928-03-01,ME3 BM2,11.5117
1928-02-01,1928-03-01,ME3 BM3,10.0993
1928-02-01,1928-03-01,ME3 BM4,3.1273
1928-02-01,1928-03-01,ME3 BM5,10.3357
1928-02-01,1928-03-01,ME4 BM1,16.3866
1928-02-01,1928-03-01,ME4 BM2,9.0618
1928-02-01,1928-03-01,ME4 BM3,5.8284
1928-02-01,1928-03-01,ME4 BM4,7.7691
1928-02-01,1928-03-01,ME4 BM5,7.908
1928-02-01,1928-03-01,BIG LoBM,15.8215
1928-02-01,1928-03-01,ME5 BM2,5.242
1928-02-01,1928-03-01,ME5 BM3,6.663
1928-02-01,1928-03-01,ME5 BM4,5.6627
1928-02-01,1928-03-01,BIG HiBM,16.7279
1928-03-01,1928-04-01,SMALL LoBM,-12.881
1928-03-01,1928-04-01,ME1 BM2,14.7799
1928-03-01,1928-04-01,ME1 BM3,17.1059
1928-03-01,1928-04-01,ME1 BM4,2.9666
1928-03-01,1928-04-01,SMALL HiBM,15.5922
1928-03-01,1928-04-01,ME2 BM1,0.3554
1928-03-01,1928-04-01,ME2 BM2,23.695
1928-03-01,1928-04-01,ME2 BM3,3.6981
1928-03-01,1928-04-01,ME2 BM4,4.9327
1928-03-01,1928-04-01,ME2 BM5,10.4199
1928-03-01,1928-04-01,ME3 BM1,7.9354
1928-03-01,1928-04-01,ME3 BM2,4.7382
1928-03-01,1928-04-01,ME3 BM3,7.364
1928-03-01,1928-04-01,ME3 BM4,4.5823
1928-03-01,1928-04-01,ME3 BM5,6.9519
1928-03-01,1928-04-01,ME4 BM1,5.2342
1928-03-01,1928-04-01,ME4 BM2,4.7965
1928-03-01,1928-04-01,ME4 BM3,2.385
1928-03-01,1928-04-01,ME4 BM4,4.539
1928-03-01,1928-04-01,ME4 BM5,3.7146
1928-03-01,1928-04-01,BIG LoBM,1.4265
1928-03-01,1928-04-01,ME5 BM2,6.8062
1928-03-01,1928-04-01,ME5 BM3,6.6232
1928-03-01,1928-04-01,ME5 BM4,2.7777
1928-03-01,1928-04-01,BIG HiBM,3.3096
1928-04-01,1928-05-01,SMALL LoBM,17.7179
1928-04-01,1928-05-01,ME1 BM2,-3.0154
1928-04-01,1928-05-01,ME1 BM3,4.3668
1928-04-01,1928-05-01,ME1 BM4,14.0701
1928-04-01,1928-05-01,SMALL HiBM,5.9297
1928-04-01,1928-05-01,ME2 BM1,2.0846
1928-04-01,1928-05-01,ME2 BM2,2.7487
1928-04-01,1928-05-01,ME2 BM3,5.544
1928-04-01,1928-05-01,ME2 BM4,6.1727
1928-04-01,1928-05-01,ME2 BM5,3.2917
1928-04-01,1928-05-01,ME3 BM1,2.7635
1928-04-01,1928-05-01,ME3 BM2,6.8539
1928-04-01,1928-05-01,ME3 BM3,1.2894
1928-04-01,1928-05-01,ME3 BM4,-1.3378
1928-04-01,1928-05-01,ME3 BM5,-3.1255
1928-04-01,1928-05-01,ME4 BM1,5.3999
1928-04-01,1928-05-01,ME4 BM2,-0.2297
1928-04-01,1928-05-01,ME4 BM3,1.1089
1928-04-01,1928-05-01,ME4 BM4,1.1633
1928-04-01,1928-05-01,ME4 BM5,2.1587
1928-04-01,1928-05-01,BIG LoBM,2.0855
1928-04-01,1928-05-01,ME5 BM2,2.131
1928-04-01,1928-05-01,ME5 BM3,-0.5468
1928-04-01,1928-05-01,ME5 BM4,1.2094
1928-04-01,1928-05-01,BIG HiBM,-3.8808
1928-05-01,1928-06-01,SMALL LoBM,-19.2709
1928-05-01,1928-06-01,ME1 BM2,-8.9596
1928-05-01,1928-06-01,ME1 BM3,-13.2422
1928-05-01,1928-06-01,ME1 BM4,-8.5749
1928-05-01,1928-06-01,SMALL HiBM,-9.4591
1928-05-01,1928-06-01,ME2 BM1,-7.9699
1928-05-01,1928-06-01,ME2 BM2,-9.3158
1928-05-01,1928-06-01,ME2 BM3,-9.3793
1928-05-01,1928-06-01,ME2 BM4,-7.7646
1928-05-01,1928-06-01,ME2 BM5,-5.9791
1928-05-01,1928-06-01,ME3 BM1,-6.4121
1928-05-01,1928-06-01,ME3 BM2,-4.6584
1928-05-01,1928-06-01,ME3 BM3,-7.1768
1928-05-01,1928-06-01,ME3 BM4,-7.2921
1928-05-01,1928-06-01,ME3 BM5,-7.0888
1928-05-01,1928-06-01,ME4 BM1,-7.1313
1928-05-01,1928-06-01,ME4 BM2,-5.5105
1928-05-01,1928-06-01,ME4 BM3,-3.4274
1928-05-01,1928-06-01,ME4 BM4,-5.7358
1928-05-01,1928-06-01,ME4 BM5,-5.8891
1928-05-01,1928-06-01,BIG LoBM,-3.104
1928-05-01,1928-06-01,ME5 BM2,-3.6349
1928-05-01,1928-06-01,ME5 BM3,-3.5186
1928-05-01,1928-06-01,ME5 BM4,-4.8694
1928-05-01,1928-06-01,BIG HiBM,-9.112
1928-06-01,1928-07-01,SMALL LoBM,-2.0217
1928-06-01,1928-07-01,ME1 BM2,3.5684
1928-06-01,1928-07-01,ME1 BM3,5.3845
1928-06-01,1928-07-01,ME1 BM4,1.2272
1928-06-01,1928-07-01,SMALL HiBM,-0.3159
1928-06-01,1928-07-01,ME2 BM1,1.0913
1928-06-01,1928-07-01,ME2 BM2,-3.7861
1928-06-01,1928-07-01,ME2 BM3,-1.1694
1928-06-01,1928-07-01,ME2 BM4,0.8003
1928-06-01,1928-07-01,ME2 BM5,-2.6184
1928-06-01,1928-07-01,ME3 BM1,-0.0414
1928-06-01,1928-07-01,ME3 BM2,-0.3134
1928-06-01,1928-07-01,ME3 BM3,-0.6748
1928-06-01,1928-07-01,ME3 BM4,0.3434
1928-06-01,1928-07-01,ME3 BM5,1.293
1928-06-01,1928-07-01,ME4 BM1,0.8129
1928-06-01,1928-07-01,ME4 BM2,-0.6048
1928-06-01,1928-07-01,ME4 BM3,1.3312
1928-06-01,1928-07-01,ME4 BM4,1.569
1928-06-01,1928-07-01,ME4 BM5,0.868
1928-06-01,1928-07-01,BIG LoBM,1.586
1928-06-01,1928-07-01,ME5 BM2,0.236
1928-06-01,1928-07-01,ME5 BM3,0.1687
1928-06-01,1928-07-01,ME5 BM4,0.3016
1928-06-01,1928-07-01,BIG HiBM,0.7709
1928-07-01,1928-08-01,SMALL LoBM,7.5257
1928-07-01,1928-08-01,ME1 BM2,0.5454
1928-07-01,1928-08-01,ME1 BM3,4.1219
1928-07-01,1928-08-01,ME1 BM4,2.8015
1928-07-01,1928-08-01,SMALL HiBM,3.5138
1928-07-01,1928-08-01,ME2 BM1,6.8055
1928-07-01,1928-08-01,ME2 BM2,3.8262
1928-07-01,1928-08-01,ME2 BM3,3.7556
1928-07-01,1928-08-01,ME2 BM4,3.2648
1928-07-01,1928-08-01,ME2 BM5,4.5088
1928-07-01,1928-08-01,ME3 BM1,6.4747
1928-07-01,1928-08-01,ME3 BM2,9.0328
1928-07-01,1928-08-01,ME3 BM3,8.45
1928-07-01,1928-08-01,ME3 BM4,4.1817
1928-07-01,1928-08-01,ME3 BM5,8.1984
1928-07-01,1928-08-01,ME4 BM1,9.9166
1928-07-01,1928-08-01,ME4 BM2,8.1692
1928-07-01,1928-08-01,ME4 BM3,6.4622
1928-07-01,1928-08-01,ME4 BM4,7.7904
1928-07-01,1928-08-01,ME4 BM5,7.7462
1928-07-01,1928-08-01,BIG LoBM,8.7103
1928-07-01,1928-08-01,ME5 BM2,6.5941
1928-07-01,1928-08-01,ME5 BM3,5.2836
1928-07-01,1928-08-01,ME5 BM4,4.4407
1928-07-01,1928-08-01,BIG HiBM,4.9839
1928-08-01,1928-09-01,SMALL LoBM,3.7129
1928-08-01,1928-09-01,ME1 BM2,3.1614
1928-08-01,1928-09-01,ME1 BM3,1.9898
1928-08-01,1928-09-01,ME1 BM4,-0.2092
1928-08-01,1928-09-01,SMALL HiBM,13.4699
1928-08-01,1928-09-01,ME2 BM1,3.1137
1928-08-01,1928-09-01,ME2 BM2,2.6532
1928-08-01,1928-09-01,ME2 BM3,5.7491
1928-08-01,1928-09-01,ME2 BM4,5.0118
1928-08-01,1928-09-01,ME2 BM5,13.4819
1928-08-01,1928-09-01,ME3 BM1,5.8082
1928-08-01,1928-09-01,ME3 BM2,4.738
1928-08-01,1928-09-01,ME3 BM3,5.4907
1928-08-01,1928-09-01,ME3 BM4,6.4424
1928-08-01,1928-09-01,ME3 BM5,3.0627
1928-08-01,1928-09-01,ME4 BM1,5.399
1928-08-01,1928-09-01,ME4 BM2,6.4761
1928-08-01,1928-09-01,ME4 BM3,2.9627
1928-08-01,1928-09-01,ME4 BM4,3.0373
1928-08-01,1928-09-01,ME4 BM5,5.9184
1928-08-01,1928-09-01,BIG LoBM,2.7789
1928-08-01,1928-09-01,ME5 BM2,1.0264
1928-08-01,1928-09-01,ME5 BM3,2.2596
1928-08-01,1928-09-01,ME5 BM4,0.5869
1928-08-01,1928-09-01,BIG HiBM,6.9794
1928-09-01,1928-10-01,SMALL LoBM,-3.9425
1928-09-01,1928-10-01,ME1 BM2,-3.8779
1928-09-01,1928-10-01,ME1 BM3,4.3796
1928-09-01,1928-10-01,ME1 BM4,3.7426
1928-09-01,1928-10-01,SMALL HiBM,6.4494
1928-09-01,1928-10-01,ME2 BM1,5.0072
1928-09-01,1928-10-01,ME2 BM2,3.0889
1928-09-01,1928-10-01,ME2 BM3,2.2823
1928-09-01,1928-10-01,ME2 BM4,1.3849
1928-09-01,1928-10-01,ME2 BM5,2.2085
1928-09-01,1928-10-01,ME3 BM1,3.9514
1928-09-01,1928-10-01,ME3 BM2,4.9579
1928-09-01,1928-10-01,ME3 BM3,2.62
1928-09-01,1928-10-01,ME3 BM4,0.2258
1928-09-01,1928-10-01,ME3 BM5,-2.5026
1928-09-01,1928-10-01,ME4 BM1,1.1071
1928-09-01,1928-10-01,ME4 BM2,-1.0248
1928-09-01,1928-10-01,ME4 BM3,-1.7484
1928-09-01,1928-10-01,ME4 BM4,4.733
1928-09-01,1928-10-01,ME4 BM5,-3.6579
1928-09-01,1928-10-01,BIG LoBM,1.4639
1928-09-01,1928-10-01,ME5 BM2,2.9037
1928-09-01,1928-10-01,ME5 BM3,1.3475
1928-09-01,1928-10-01,ME5 BM4,-0.3614
1928-09-01,1928-10-01,BIG HiBM,4.7457
1928-10-01,1928-11-01,SMALL LoBM,3.8603
1928-10-01,1928-11-01,ME1 BM2,30.2108
1928-10-01,1928-11-01,ME1 BM3,7.7079
1928-10-01,1928-11-01,ME1 BM4,16.7378
1928-10-01,1928-11-01,SMALL HiBM,12.7121
1928-10-01,1928-11-01,ME2 BM1,6.6941
1928-10-01,1928-11-01,ME2 BM2,7.8822
1928-10-01,1928-11-01,ME2 BM3,10.2999
1928-10-01,1928-11-01,ME2 BM4,13.4954
1928-10-01,1928-11-01,ME2 BM5,8.2555
1928-10-01,1928-11-01,ME3 BM1,9.6832
1928-10-01,1928-11-01,ME3 BM2,11.362
1928-10-01,1928-11-01,ME3 BM3,18.7164
1928-10-01,1928-11-01,ME3 BM4,13.7626
1928-10-01,1928-11-01,ME3 BM5,15.6689
1928-10-01,1928-11-01,ME4 BM1,10.9224
1928-10-01,1928-11-01,ME4 BM2,11.8126
1928-10-01,1928-11-01,ME4 BM3,9.7614
1928-10-01,1928-11-01,ME4 BM4,7.7166
1928-10-01,1928-11-01,ME4 BM5,14.2763
1928-10-01,1928-11-01,BIG LoBM,11.5603
1928-10-01,1928-11-01,ME5 BM2,10.4534
1928-10-01,1928-11-01,ME5 BM3,16.0833
1928-10-01,1928-11-01,ME5 BM4,9.1276
1928-10-01,1928-11-01,BIG HiBM,17.8916
1928-11-01,1928-12-01,SMALL LoBM,-5.4317
1928-11-01,1928-12-01,ME1 BM2,-7.6129
1928-11-01,1928-12-01,ME1 BM3,-5.4498
1928-11-01,1928-12-01,ME1 BM4,-2.4303
1928-11-01,1928-12-01,SMALL HiBM,-2.0332
1928-11-01,1928-12-01,ME2 BM1,-3.3339
1928-11-01,1928-12-01,ME2 BM2,-2.6891
1928-11-01,1928-12-01,ME2 BM3,-0.944
1928-11-01,1928-12-01,ME2 BM4,-4.0896
1928-11-01,1928-12-01,ME2 BM5,0.3738
1928-11-01,1928-12-01,ME3 BM1,3.1148
1928-11-01,1928-12-01,ME3 BM2,-0.0951
1928-11-01,1928-12-01,ME3 BM3,1.1249
1928-11-01,1928-12-01,ME3 BM4,1.2061
1928-11-01,1928-12-01,ME3 BM5,0.5792
1928-11-01,1928-12-01,ME4 BM1,3.4405
1928-11-01,1928-12-01,ME4 BM2,3.7344
1928-11-01,1928-12-01,ME4 BM3,0.3514
1928-11-01,1928-12-01,ME4 BM4,1.7526
1928-11-01,1928-12-01,ME4 BM5,-3.3414
1928-11-01,1928-12-01,BIG LoBM,0.5873
1928-11-01,1928-12-01,ME5 BM2,1.1557
1928-11-01,1928-12-01,ME5 BM3,-1.0312
1928-11-01,1928-12-01,ME5 BM4,1.2971
1928-11-01,1928-12-01,BIG HiBM,0.3726
1928-12-01,1929-01-01,SMALL LoBM,2.9249
1928-12-01,1929-01-01,ME1 BM2,8.2436
1928-12-01,1929-01-01,ME1 BM3,-3.8686
1928-12-01,1929-01-01,ME1 BM4,5.9937
1928-12-01,1929-01-01,SMALL HiBM,5.192
1928-12-01,1929-01-01,ME2 BM1,4.0845
1928-12-01,1929-01-01,ME2 BM2,1.4254
1928-12-01,1929-01-01,ME2 BM3,1.4492
1928-12-01,1929-01-01,ME2 BM4,-0.2671
1928-12-01,1929-01-01,ME2 BM5,-0.5393
1928-12-01,1929-01-01,ME3 BM1,1.6878
1928-12-01,1929-01-01,ME3 BM2,4.7525
1928-12-01,1929-01-01,ME3 BM3,-4.7459
1928-12-01,1929-01-01,ME3 BM4,4.3288
1928-12-01,1929-01-01,ME3 BM5,2.4857
1928-12-01,1929-01-01,ME4 BM1,4.624
1928-12-01,1929-01-01,ME4 BM2,4.8918
1928-12-01,1929-01-01,ME4 BM3,3.7165
1928-12-01,1929-01-01,ME4 BM4,1.5503
1928-12-01,1929-01-01,ME4 BM5,1.1437
1928-12-01,1929-01-01,BIG LoBM,6.5749
1928-12-01,1929-01-01,ME5 BM2,10.2571
1928-12-01,1929-01-01,ME5 BM3,2.3122
1928-12-01,1929-01-01,ME5 BM4,4.9802
1928-12-01,1929-01-01,BIG HiBM,0.0249
1929-01-01,1929-02-01,SMALL LoBM,0.9617
1929-01-01,1929-02-01,ME1 BM2,-7.9993
1929-01-01,1929-02-01,ME1 BM3,-2.8183
1929-01-01,1929-02-01,ME1 BM4,0.0022
1929-01-01,1929-02-01,SMALL HiBM,-1.7637
1929-01-01,1929-02-01,ME2 BM1,-3.2489
1929-01-01,1929-02-01,ME2 BM2,1.8521
1929-01-01,1929-02-01,ME2 BM3,3.7686
1929-01-01,1929-02-01,ME2 BM4,0.6565
1929-01-01,1929-02-01,ME2 BM5,5.2965
1929-01-01,1929-02-01,ME3 BM1,1.3547
1929-01-01,1929-02-01,ME3 BM2,0.197
1929-01-01,1929-02-01,ME3 BM3,0.5902
1929-01-01,1929-02-01,ME3 BM4,4.1229
1929-01-01,1929-02-01,ME3 BM5,0.2402
1929-01-01,1929-02-01,ME4 BM1,-1.4402
1929-01-01,1929-02-01,ME4 BM2,1.4218
1929-01-01,1929-02-01,ME4 BM3,2.3577
1929-01-01,1929-02-01,ME4 BM4,0.4267
1929-01-01,1929-02-01,ME4 BM5,1.954
1929-01-01,1929-02-01,BIG LoBM,-0.7818
1929-01-01,1929-02-01,ME5 BM2,0.9801
1929-01-01,1929-02-01,ME5 BM3,0.4464
1929-01-01,1929-02-01,ME5 BM4,0.7348
1929-01-01,1929-02-01,BIG HiBM,3.4624
1929-02-01,1929-03-01,SMALL LoBM,-14.5269
1929-02-01,1929-03-01,ME1 BM2,-0.6033
1929-02-01,1929-03-01,ME1 BM3,-2.1337
1929-02-01,1929-03-01,ME1 BM4,-4.6768
1929-02-01,1929-03-01,SMALL HiBM,-2.9964
1929-02-01,1929-03-01,ME2 BM1,-4.0739
1929-02-01,1929-03-01,ME2 BM2,-5.8814
1929-02-01,1929-03-01,ME2 BM3,-5.0894
1929-02-01,1929-03-01,ME2 BM4,-2.364
1929-02-01,1929-03-01,ME2 BM5,-4.1641
1929-02-01,1929-03-01,ME3 BM1,-7.2089
1929-02-01,1929-03-01,ME3 BM2,-4.9266
1929-02-01,1929-03-01,ME3 BM3,-2.8056
1929-02-01,1929-03-01,ME3 BM4,-3.1815
1929-02-01,1929-03-01,ME3 BM5,-5.7807
1929-02-01,1929-03-01,ME4 BM1,-4.4903
1929-02-01,1929-03-01,ME4 BM2,-5.1527
1929-02-01,1929-03-01,ME4 BM3,1.3652
1929-02-01,1929-03-01,ME4 BM4,-1.2185
1929-02-01,1929-03-01,ME4 BM5,-1.1298
1929-02-01,1929-03-01,BIG LoBM,-0.1756
1929-02-01,1929-03-01,ME5 BM2,0.8493
1929-02-01,1929-03-01,ME5 BM3,3.5264
1929-02-01,1929-03-01,ME5 BM4,0.0438
1929-02-01,1929-03-01,BIG HiBM,0.7492
1929-03-01,1929-04-01,SMALL LoBM,-4.4228
1929-03-01,1929-04-01,ME1 BM2,-8.8405
1929-03-01,1929-04-01,ME1 BM3,-0.9605
1929-03-01,1929-04-01,ME1 BM4,7.4638
1929-03-01,1929-04-01,SMALL HiBM,-1.6193
1929-03-01,1929-04-01,ME2 BM1,0.0188
1929-03-01,1929-04-01,ME2 BM2,0.7853
1929-03-01,1929-04-01,ME2 BM3,4.7933
1929-03-01,1929-04-01,ME2 BM4,-2.2916
1929-03-01,1929-04-01,ME2 BM5,6.1626
